name,warranty,shipping,ships_in,country_of_origin,sin,part_no,gsa_schedule 
781255-01 - National Instruments Corporation GreenField PXI-9404 Precision Delay Generator,0 Stnd,FOB Destination,20 Days,France,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780159-02 - National Instruments Corporation NI 9225 3-CH +/-300V ANALOG INPUT MODULE, CONFORMAL COAT",0 Stnd,FOB Destination,40 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780174-01 - National Instruments Corporation NI 9477, 32-CH 60 V, 8 US, SINKING DIGITAL OUT, CONFORMAL COAT",0 Stnd,FOB Destination,40 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778916-02 - National Instruments Corporation NI PCI-7342, 2 Axis Stepper/Servo Motion Controller",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778916-04 - National Instruments Corporation NI PCI-7344, 4 Axis Stepper/Servo Motion Controller",0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
776577-71 - National Instruments Corporation SCXI-1371 Rack Mount Kit for the SCXI-1000 4-Slot Chassis.,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
862002-01 - National Instruments Corporation NI Power Quality Analyzer - Full Package (includes full version of application software),0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778959-200 - National Instruments Corporation MXI-4/Reflective Memory Fiber Optic Cable, 200m",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781639-01 - National Instruments Corporation NI 9862, C Series, CAN Interface, High-Speed/FD, 1 Port",0 Stnd,FOB Destination,5 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"776575-591 - National Instruments Corporation SCXI-1359-01 2-Slot Communication Backplane & Cable Assy, 1 m",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781620-01 - National Instruments Corporation Spare 1 TB Hard-Drive and Drive Bay for HDD-8265,0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781753-01 - National Instruments Corporation NI PXI-8232, GIGE and GPIB Controller for Windows and LabVIEW RT",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781682-01 - National Instruments Corporation NI 1732 Smart Camera (400 MHz Processor, VGA, Monochrome)",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778985-01 - National Instruments Corporation PXI-8431/4, 4 Port, RS485/RS422 Serial interface",0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
776707-01 - National Instruments Corporation 8-port GPIB Strip to consolidate GPIB cables in a central location without piggybacking.,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781282-01 - National Instruments Corporation NI 9502 C Series Brushless Servo Drive Module,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778984-01 - National Instruments Corporation PXI-8431/2, 2 Port, RS485/RS422 Serial Interface",0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778794-01 - National Instruments Corporation NI 1450 Power Supply, 24v, 50w",0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781673-01 - National Instruments Corporation NI 9881, C Series CANopen Interface, 1 Port",0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780179-01 - National Instruments Corporation NI-9403, 32-Channel TTL Digital I/O Module, Conformal Coat",0 Stnd,FOB Destination,40 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780177-01 - National Instruments Corporation cRIO-9074 Integrated System, 2M Gate FPGA, Conformal Coat",0 Stnd,FOB Destination,40 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
780270-01 - National Instruments Corporation NI TB-2633 Terminal Block for PXI-2533 4x64 Matrix,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781717-03 - National Instruments Corporation NI CMD to Single-Ended Pigtail (2m),0 Stnd,FOB Destination,30 Days,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"781702-01 - National Instruments Corporation NI 6587 (16+4 LVDS ch, 1 Gbps per channel)",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778990-02 - National Instruments Corporation SC-2350, SCC Carrier with Configurable TEDS Connectors, SCC-PWR02 NOT FOR SALE IN JAPAN",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778726-01 - National Instruments Corporation NI PXI-6652 Timing and Synchronization Module with TCXO,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781598-01 - National Instruments Corporation Precision Adapter, K-Type, Female-Female",0 Stnd,FOB Destination,30 Days,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
780383-01 - National Instruments Corporation Relay Replacement Kit for G6JU-2P-Y Relay (Qty:10),0 Stnd,FOB Destination,20 Days,Japan,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778724-35 - National Instruments Corporation NI Digital Waveform Editor for creating and managing digital test patterns.,0 Stnd,FOB Destination,10 Days,Ireland,627-15,,GS-24F-0066M Exp. 10 Sep. 2022
"781683-01 - National Instruments Corporation NI 1752 Smart Camera (600 MHz Processor, VGA, Monochrome)",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"782866-01 - National Instruments Corporation NI TBX-50, 50 Pin Dsub Screw Terminal Block",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778715-01 - National Instruments Corporation NI PXI-6653, Multichassis Synchronization Module with OCXO for synchronizing up to 51 chassis",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778577-01 - National Instruments Corporation NI PXI-5404, 100 MHz Frequency/Clock Generator with Sine wave and clock outputs",0 Stnd,FOB Destination,20 Days,United States,627-15,,GS-24F-0066M Exp. 10 Sep. 2022
"782929-01 - National Instruments Corporation BAS-3000-33: External Regen Resistor, 3000 W, 33 ohms",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778572-68 - National Instruments Corporation NI PXI-2568 31 Channel Form A Relay Module,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781601-01 - National Instruments Corporation Precision Adapter, N-Type, Female-Female",0 Stnd,FOB Destination,30 Days,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"781787-11 - National Instruments Corporation CRIO-9081, High Performance Integrated System, 8-Slot, LX75, Win",0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778572-99 - National Instruments Corporation NI PXI-2599 26 GHz Dual SPDT Switch,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778710-01 - National Instruments Corporation UMI-7772/4, DIN Rail Mount",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781787-01 - National Instruments Corporation CRIO-9081, High Performance Integrated System, 8-Slot, LX75, RT",0 Stnd,FOB Destination,5 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"779035-02 - National Instruments Corporation NI PXI-7332, 2 Axis Stepper Motion Controller",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780389-01 - National Instruments Corporation VHDCI Connector, 68-Pin, Vertical, PWB Through Hole Mount",0 Stnd,FOB Destination,15 Days,Taiwan,627-15,,GS-24F-0066M Exp. 10 Sep. 2022
781985-22 - National Instruments Corporation NI PXI-2722 5-Channel 16-bit Programmable Resistor,0 Stnd,FOB Destination,25 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
745688-E10 - National Instruments Corporation E-Type Minithermocouple Plug (QTY 10),0 Stnd,FOB Destination,20 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
780386-01 - National Instruments Corporation Relay Replacement Kit for G6KU-2F-Y Relay (Qty:10),0 Stnd,FOB Destination,30 Days,Japan,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
745688-J10 - National Instruments Corporation J-Type Minithermocouple Plug (QTY 10),0 Stnd,FOB Destination,20 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
781920-01 - National Instruments Corporation Cable Kit for PMI 2.7 GHz - 26.5 GHz Frequency Extension,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779106-01 - National Instruments Corporation NI 9937 4-pos controller power supply plugs (quantity 10),0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781973-01 - National Instruments Corporation Mini-75 Ohm SMB Plug to Mini-75 Ohm BNC Plug, 12 Inches",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
777207-25 - National Instruments Corporation TBX-1325 High-Voltage Terminal Block,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778672-01 - National Instruments Corporation 37-Pin DSUB to Screw Terminal Block with Vertical DIN-Rail Mount,0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"763443-01 - National Instruments Corporation SMA 100, SMA Male to SMA Male Flexible Cable, 12.7cm",0 Stnd,FOB Destination,15 Days,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"781472-01 - National Instruments Corporation NI PXIe-8430/8, 8 Port, RS232 Serial Interface for PXI Express",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780327-07 - National Instruments Corporation VXI-8360T Trigger Cable, 7M",0 Stnd,FOB Destination,50 Days,Mexico,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
780501-01 - National Instruments Corporation NI ENET-9163 Ethernet Carrier for C Series Modules and NI-DAQmx Driver Software,0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
745688-T10 - National Instruments Corporation T-Type Minithermocouple Plug (QTY 10),0 Stnd,FOB Destination,30 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"780493-01 - National Instruments Corporation NI 9213 16-ch TC, 24-bit C Series module",0 Stnd,FOB Destination,5 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777218-03 - National Instruments Corporation MXI-2 Cable, Type MB-3, 3 m",0 Stnd,FOB Destination,50 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
780314-35 - National Instruments Corporation NI GPS Simulation Toolkit for LabVIEW,0 Stnd,FOB Destination,10 Days,Ireland,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
199429-01 - National Instruments Corporation Side Mounting Kit for NI PS-14/15,0 Stnd,FOB Destination,10 Days,Czech Republic,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"777119-384 - National Instruments Corporation VXI-PCI8026 MXI-2 Kit for Linux, without Cable",0 Stnd,FOB Destination,50 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"198588-01 - National Instruments Corporation LVDS Flying Lead Extension Wires, Socket to Pin, 3.5 in (Qty 25)",0 Stnd,FOB Destination,20 Days,United States,627-15,,GS-24F-0066M Exp. 10 Sep. 2022
778572-12 - National Instruments Corporation NI PXI-2512 7-Channel 10A FIU Switch Module,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781901-03 - National Instruments Corporation 4 Channel 1553 PXI Interface Module from AIT (Extended Function),0 Stnd,FOB Destination,40 Days,United States,602-40,,GS-24F-0066M Exp. 10 Sep. 2022
782706-3503 - National Instruments Corporation NI AudioMASTER Software Calibration Add-on,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780041-01 - National Instruments Corporation NI CAN Breakout Box 7-Port for CAN, DeviceNet, and CANOpen",0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778572-64 - National Instruments Corporation NI PXI-2564 16 Channel High-Current SPST Relay Module,0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778737-02 - National Instruments Corporation NI PXI-5610, 3 Ghz RF Upconverter (OEM)",0 Stnd,FOB Destination,40 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782705-01 - National Instruments Corporation NI 5782 AC-Coupled IF Transceiver Adapter Module for NI FlexRIO,0 Stnd,FOB Destination,30 Days,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
782887-01 - National Instruments Corporation Additional Connector Kit for NI PXIe-4112/13 Power Supplies,0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777163-04 - National Instruments Corporation M1 MXI-2 Cable, straight point connector to straight point connector, 4 M",0 Stnd,FOB Destination,25 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778711-01 - National Instruments Corporation UMI-7772/4, Panel Mount, Horizontal",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782878-01 - National Instruments Corporation NI PXIe-4322 8 Ch. Isolated Analot Output Module,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780017-04 - National Instruments Corporation cFP-CB-4 Probeable, Front Accessible Connector Block",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
777687-33 - National Instruments Corporation Matrix Terminal Block with spring terminals for signal connection The terminal block is front-mount.,0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"782124-01 - National Instruments Corporation NI PCIE-8431/2, 2 Port, RS485/RS422 Serial Interface",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777696-01 - National Instruments Corporation NI PXI-2501, 24 Channel FET MUX and Matrix Switch",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782131-01 - National Instruments Corporation CompactRIO PROFINET Slave C Series Module,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780935-01 - National Instruments Corporation NI PCIe-GPIB+, NI-488.2 for Windows 7/Vista/XP",0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778572-86 - National Instruments Corporation NI PXI-2586 10 Channel High-Current SPST Relay Module,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
745688-K10 - National Instruments Corporation K-Type Minithermocouple Plug (QTY 10),0 Stnd,FOB Destination,20 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"778503-01 - National Instruments Corporation NI PXI-8214, Ultra2 SCSI Interface",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"782595-35 - National Instruments Corporation NI Combustion Analysis System Software for LabVIEW, (Development License)",0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
780900-35 - National Instruments Corporation NI WLAN Measurement Suite For IEEE 802.11a/b/g,0 Stnd,FOB Destination,10 Days,Ireland,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
777665-01 - National Instruments Corporation Rack-Mount Kit for SC-2345 or CA-1000,0 Stnd,FOB Destination,15 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
782577-01 - National Instruments Corporation 8GB Industrially Rated Compact Flash Card for TPC-22XX,0 Stnd,FOB Destination,10 Days,Taiwan,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
782576-01 - National Instruments Corporation PXIe-2790 6 GHz Solid State Power Combiner and Switch Module,0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
777264-01 - National Instruments Corporation TBX-96 DIN-Rail Mountable Connector Blocks,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779751-03 - National Instruments Corporation LabVIEW Real-Time ETS Deployment License Bundle for Standard PC's,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"763388-01 - National Instruments Corporation SMB300 SMB to Mini-Alligator Clips Cable, 50 Ohm, 1 m",0 Stnd,FOB Destination,20 Days,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"777297-01 - National Instruments Corporation EMI Suppression Ferrite, 13.4mm",0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"782554-01 - National Instruments Corporation AKM41E-NBCNC-00 Gearmotor, 25:1 ratio, SFD Feedback",0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780431-01 - National Instruments Corporation NI Analog Video Generator (PXI-5421, 8MB/ch)",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"782582-01 - National Instruments Corporation 4-pos screw terminal power supply plugs, high current (quantity 5)",0 Stnd,FOB Destination,30 Days,Germany,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"780429-01 - National Instruments Corporation NI Analog Video Analyzer (PCI-5124, 32MB/ch)",0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777687-00 - National Instruments Corporation SCXI-1300 General Purpose Screw Terminal Block, Cast",0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781810-35 - National Instruments Corporation NI Picture Quality Analysis (NI PQA) software,0 Stnd,FOB Destination,10 Days,Ireland,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
"777643-01 - National Instruments Corporation BNC-2110 Noise Rejecting, Shielded BNC Connector Block",0 Stnd,FOB Destination,5 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782545-01 - National Instruments Corporation Spare/Replacement DC Power Supply for NI RMC-8355,0 Stnd,FOB Destination,20 Days,Taiwan,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"782566-01 - National Instruments Corporation NI RMC-8355, Xeon, 3GB RAM, Win 7 64-bit, AC Power",0 Stnd,FOB Destination,40 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778616-01 - National Instruments Corporation cFP-PM-H, Horizontal Panel Mounting Kit for cFP",0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"778476-02 - National Instruments Corporation USB-485/2, 2-Port USB to RS-485 Converter",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777573-01 - National Instruments Corporation PXI-8320, MXI-2 System Extender, Board Only Kit",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779324-35 - National Instruments Corporation LabVIEW Real-Time Vision Development Bundle,0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782460-10 - National Instruments Corporation Relay Replacement Kit for IMB02CTS Relays (QTY: 10),0 Stnd,FOB Destination,30 Days,Switzerland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781315-01 - National Instruments Corporation MXIe 14 Slot Reconfigurable RIO Chassis, LX 110 FPGA",0 Stnd,FOB Destination,5 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
190936-01 - National Instruments Corporation Camera Link Medium Configuration/Trigger Cable for NI 1428,0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
199175-01 - National Instruments Corporation Panel Mount Kit for NI 17XX Smart Camera,0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
187949-01 - National Instruments Corporation Jackscrew Kit for connecting screw-latching cables to older board,0 Stnd,FOB Destination,10 Days,Taiwan,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
778592-01 - National Instruments Corporation CB-2162 Single-ended Digital I/O Accessory,0 Stnd,FOB Destination,15 Days,United States,627-15,,GS-24F-0066M Exp. 10 Sep. 2022
"187804-01 - National Instruments Corporation IMAQ-D6804, Camera Link Digital Trigger Cable, 1 m",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779311-01 - National Instruments Corporation 100-Pin HDI Right Angle Mating Connector,0 Stnd,FOB Destination,20 Days,Switzerland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
189154-01 - National Instruments Corporation Compact Vision System Panel and Din Rail Mount Kit,0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
745688-U10 - National Instruments Corporation Uncompensated Minithermocouple Plug (QTY 10),0 Stnd,FOB Destination,30 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
778572-70 - National Instruments Corporation NI PXI-2570 40 Channel Form C Relay Module,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778572-66 - National Instruments Corporation NI PXI-2566 16 ch Form C Relay Module,0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779729-01 - National Instruments Corporation cFP-180X Power Supply Connector for Compact FieldPoint,0 Stnd,FOB Destination,10 Days,Italy,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"781316-01 - National Instruments Corporation MXIe 14 Slot Reconfigurable RIO Chassis, LX 85 FPGA",0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"188859-01 - National Instruments Corporation SMB 200 Cable, SMB Plug to SMB Plug Coax, 50 Ohm, 1M",0 Stnd,FOB Destination,20 Days,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
778572-96 - National Instruments Corporation NI PXI-2596 26 GHz Dual 6x1 Multiplexer,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"779200-01 - National Instruments Corporation PXI-1044 Filler Panel Kit, 7 Single, 1 Double, 1 Quadruple. With Instructions",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777163-01 - National Instruments Corporation M1 MXI-2 Cable, straight point connector to straight point connector, 1 M",0 Stnd,FOB Destination,50 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778572-30 - National Instruments Corporation NI PXI-2530B High-DensityMultiplexer/Matrix Switch,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779698-01 - National Instruments Corporation SCXI-1306 Front End Terminal Block for SCXI-1503,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
777600-01 - National Instruments Corporation Right Angle PWB Mounting with 68-pin male connector,0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"781819-01 - National Instruments Corporation NI PXIe-8364, x1, MXI-Express Daisy-Chain Copper Interface",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
777324-35 - National Instruments Corporation Lookout Integrator System - 3 hour running time for development,0 Stnd,FOB Destination,10 Days,Ireland,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
777320-3591 - National Instruments Corporation Lookout Development System - Unlimited I/O,0 Stnd,FOB Destination,10 Days,Ireland,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
777687-24 - National Instruments Corporation SCXI-1324 Terminal Block Assembly. For use with SCXI-1160 Module.,0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779469-03 - National Instruments Corporation Converts 3 6U Slots to 6 3U Slots,0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"779454-01 - National Instruments Corporation NI 9917 Industrial Enclosure, solid door, with internal panel for mounting",0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"184737-01 - National Instruments Corporation BNC Connector Panelette, CA-1000 Style Enclosure",0 Stnd,FOB Destination,15 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
779462-01 - National Instruments Corporation Traditional NI-DAQ Software for Windows 2000/NT/XP,0 Stnd,FOB Destination,10 Days,Czech Republic,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"190264-01 - National Instruments Corporation Cable, CVS to Basler A601 trigger cable",0 Stnd,FOB Destination,30 Days,Germany,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
779458-02 - National Instruments Corporation NI ExpressCard-8421/2 RS485 2-Port Interface,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"777459-03 - National Instruments Corporation SCC-TC01 Thermocouple Input Module, with Mini-Plug",0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"779948-01 - National Instruments Corporation NI PXI-8430/16, 16 Port, RS232 Serial Interface",0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780591-01 - National Instruments Corporation NI PCIe-8430/8, 8 Port, RS232 Serial Interface",0 Stnd,FOB Destination,20 Days,United States,627-9,,GS-24F-0066M Exp. 10 Sep. 2022
779799-35 - National Instruments Corporation NI Vision Builder for Automated Inspection Run-Time License,0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778600-01 - National Instruments Corporation Internal IDE Flash Drive for the VXIPC-870B and VXIPC-770 Series,0 Stnd,FOB Destination,50 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"782596-01 - National Instruments Corporation Dual CPU Upgrade for NI RMC-8355, Intel Xeon E5620",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"156166-01 - National Instruments Corporation Shielded R Series High Speed Digital Cable, 1m",0 Stnd,FOB Destination,10 Days,Taiwan,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"188376-0R3 - National Instruments Corporation MCX Plug to SMB Plug, 0.3 m",0 Stnd,FOB Destination,30 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
780587-27 - National Instruments Corporation NI PXIe-2527 64-Channel 300V CAT I Multiplexer,0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"779794-01 - National Instruments Corporation NI USB-8476, 1 Port, USB LIN Interface",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
